filename,subject,year,exam_id,question_number,difficulty,relative_path,status,model_used,error_msg
1_115-1_1.md,臨床生理學與病理學,115-1,1,1,簡單,臨床生理學與病理學/115-1/1_115-1_1.md,Completed,flash,
1_115-1_2.md,臨床生理學與病理學,115-1,1,2,非常簡單,臨床生理學與病理學/115-1/1_115-1_2.md,Completed,flash,
1_115-1_3.md,臨床生理學與病理學,115-1,1,3,適中,臨床生理學與病理學/115-1/1_115-1_3.md,Completed,pro,
1_115-1_4.md,臨床生理學與病理學,115-1,1,4,簡單,臨床生理學與病理學/115-1/1_115-1_4.md,Completed,flash,
1_115-1_5.md,臨床生理學與病理學,115-1,1,5,簡單,臨床生理學與病理學/115-1/1_115-1_5.md,Completed,flash,
1_115-1_6.md,臨床生理學與病理學,115-1,1,6,困難,臨床生理學與病理學/115-1/1_115-1_6.md,Completed,pro,
1_115-1_7.md,臨床生理學與病理學,115-1,1,7,非常簡單,臨床生理學與病理學/115-1/1_115-1_7.md,Completed,flash,
1_115-1_8.md,臨床生理學與病理學,115-1,1,8,非常簡單,臨床生理學與病理學/115-1/1_115-1_8.md,Completed,flash,
1_115-1_9.md,臨床生理學與病理學,115-1,1,9,簡單,臨床生理學與病理學/115-1/1_115-1_9.md,Completed,flash,
1_115-1_10.md,臨床生理學與病理學,115-1,1,10,非常簡單,臨床生理學與病理學/115-1/1_115-1_10.md,Completed,flash,
1_115-1_11.md,臨床生理學與病理學,115-1,1,11,簡單,臨床生理學與病理學/115-1/1_115-1_11.md,Completed,flash,
1_115-1_12.md,臨床生理學與病理學,115-1,1,12,簡單,臨床生理學與病理學/115-1/1_115-1_12.md,Completed,flash,
1_115-1_13.md,臨床生理學與病理學,115-1,1,13,適中,臨床生理學與病理學/115-1/1_115-1_13.md,Completed,pro,
1_115-1_14.md,臨床生理學與病理學,115-1,1,14,簡單,臨床生理學與病理學/115-1/1_115-1_14.md,Completed,flash,
1_115-1_15.md,臨床生理學與病理學,115-1,1,15,非常簡單,臨床生理學與病理學/115-1/1_115-1_15.md,Completed,flash,
1_115-1_16.md,臨床生理學與病理學,115-1,1,16,簡單,臨床生理學與病理學/115-1/1_115-1_16.md,Completed,flash,
1_115-1_17.md,臨床生理學與病理學,115-1,1,17,簡單,臨床生理學與病理學/115-1/1_115-1_17.md,Completed,flash,
1_115-1_18.md,臨床生理學與病理學,115-1,1,18,簡單,臨床生理學與病理學/115-1/1_115-1_18.md,Completed,flash,
1_115-1_19.md,臨床生理學與病理學,115-1,1,19,適中,臨床生理學與病理學/115-1/1_115-1_19.md,Completed,pro,
1_115-1_20.md,臨床生理學與病理學,115-1,1,20,適中,臨床生理學與病理學/115-1/1_115-1_20.md,Completed,pro,
1_115-1_21.md,臨床生理學與病理學,115-1,1,21,困難,臨床生理學與病理學/115-1/1_115-1_21.md,Completed,pro,
1_115-1_22.md,臨床生理學與病理學,115-1,1,22,適中,臨床生理學與病理學/115-1/1_115-1_22.md,Completed,pro,
1_115-1_23.md,臨床生理學與病理學,115-1,1,23,簡單,臨床生理學與病理學/115-1/1_115-1_23.md,Completed,flash,
1_115-1_24.md,臨床生理學與病理學,115-1,1,24,簡單,臨床生理學與病理學/115-1/1_115-1_24.md,Completed,flash,
1_115-1_25.md,臨床生理學與病理學,115-1,1,25,非常簡單,臨床生理學與病理學/115-1/1_115-1_25.md,Completed,flash,
1_115-1_26.md,臨床生理學與病理學,115-1,1,26,簡單,臨床生理學與病理學/115-1/1_115-1_26.md,Completed,flash,
1_115-1_27.md,臨床生理學與病理學,115-1,1,27,簡單,臨床生理學與病理學/115-1/1_115-1_27.md,Completed,flash,
1_115-1_28.md,臨床生理學與病理學,115-1,1,28,適中,臨床生理學與病理學/115-1/1_115-1_28.md,Completed,pro,
1_115-1_29.md,臨床生理學與病理學,115-1,1,29,簡單,臨床生理學與病理學/115-1/1_115-1_29.md,Completed,flash,
1_115-1_30.md,臨床生理學與病理學,115-1,1,30,適中,臨床生理學與病理學/115-1/1_115-1_30.md,Completed,pro,
1_115-1_31.md,臨床生理學與病理學,115-1,1,31,簡單,臨床生理學與病理學/115-1/1_115-1_31.md,Completed,flash,
1_115-1_32.md,臨床生理學與病理學,115-1,1,32,非常困難,臨床生理學與病理學/115-1/1_115-1_32.md,Completed,pro,
1_115-1_33.md,臨床生理學與病理學,115-1,1,33,適中,臨床生理學與病理學/115-1/1_115-1_33.md,Completed,pro,
1_115-1_34.md,臨床生理學與病理學,115-1,1,34,簡單,臨床生理學與病理學/115-1/1_115-1_34.md,Completed,flash,
1_115-1_35.md,臨床生理學與病理學,115-1,1,35,適中,臨床生理學與病理學/115-1/1_115-1_35.md,Completed,pro,
1_115-1_36.md,臨床生理學與病理學,115-1,1,36,適中,臨床生理學與病理學/115-1/1_115-1_36.md,Completed,pro,
1_115-1_37.md,臨床生理學與病理學,115-1,1,37,簡單,臨床生理學與病理學/115-1/1_115-1_37.md,Completed,flash,
1_115-1_38.md,臨床生理學與病理學,115-1,1,38,非常簡單,臨床生理學與病理學/115-1/1_115-1_38.md,Completed,flash,
1_115-1_39.md,臨床生理學與病理學,115-1,1,39,簡單,臨床生理學與病理學/115-1/1_115-1_39.md,Completed,flash,
