Priority,Subject,TopicName,TopicPath,TotalQuestions,IncludedQuestions,SupportRate,IsStub,Status,Note,UpdatedAt
5,醫學分子檢驗學與臨床鏡檢學,藥物基因體學,醫學分子檢驗學與臨床鏡檢學/_topics/藥物基因體學.md,23,18,0.7826,False,Completed,Deployed successfully,2026-07-12 22:20
5,微生物學與臨床微生物學,分枝桿菌：結核病與鑑定,微生物學與臨床微生物學/_topics/分枝桿菌：結核病與鑑定.md,22,17,0.7727,False,Completed,Deployed successfully,2026-07-12 22:24
5,醫學分子檢驗學與臨床鏡檢學,聚合酶連鎖反應技術,醫學分子檢驗學與臨床鏡檢學/_topics/聚合酶連鎖反應技術.md,21,16,0.7619,False,Completed,Deployed successfully,2026-07-12 22:27
4,生物化學與臨床生化學,血液氣體分析與酸鹼平衡,生物化學與臨床生化學/_topics/血液氣體分析與酸鹼平衡.md,30,26,0.8667,False,Completed,Deployed successfully,2026-07-12 22:17
4,臨床血液學與血庫學,血液成分製備、儲存與品管,臨床血液學與血庫學/_topics/血液成分製備、儲存與品管.md,25,21,0.8400,False,Completed,Deployed successfully,2026-07-12 22:31
4,醫學分子檢驗學與臨床鏡檢學,基因定序技術,醫學分子檢驗學與臨床鏡檢學/_topics/基因定序技術.md,25,21,0.8400,False,Completed,Deployed successfully,2026-07-12 22:35
4,臨床生理學與病理學,腫瘤學：致癌機轉與分子生物學,臨床生理學與病理學/_topics/腫瘤學：致癌機轉與分子生物學.md,24,20,0.8333,False,Completed,Deployed successfully,2026-07-12 22:38
4,臨床血液學與血庫學,淋巴瘤與其他淋巴增生疾患,臨床血液學與血庫學/_topics/淋巴瘤與其他淋巴增生疾患.md,24,20,0.8333,False,Completed,Deployed successfully,2026-07-12 22:43
4,微生物學與臨床微生物學,革蘭氏陽性球菌：葡萄球菌屬,微生物學與臨床微生物學/_topics/革蘭氏陽性球菌：葡萄球菌屬.md,23,19,0.8261,False,Completed,Deployed successfully,2026-07-12 22:46
4,臨床生理學與病理學,內分泌系統病理學,臨床生理學與病理學/_topics/內分泌系統病理學.md,23,19,0.8261,False,Completed,Deployed successfully,2026-07-12 22:50
4,臨床生理學與病理學,發炎、組織修復與再生,臨床生理學與病理學/_topics/發炎、組織修復與再生.md,23,19,0.8261,False,Completed,Deployed successfully,2026-07-12 22:54
4,醫學分子檢驗學與臨床鏡檢學,單基因遺傳疾病分子診斷,醫學分子檢驗學與臨床鏡檢學/_topics/單基因遺傳疾病分子診斷.md,22,18,0.8182,False,Completed,Deployed successfully,2026-07-12 22:58
4,生物化學與臨床生化學,臨床毒物學,生物化學與臨床生化學/_topics/臨床毒物學.md,21,17,0.8095,False,Completed,Deployed successfully,2026-07-12 23:03
4,微生物學與臨床微生物學,臨床檢體處理與品質評估,微生物學與臨床微生物學/_topics/臨床檢體處理與品質評估.md,15,11,0.7333,False,Completed,Deployed successfully,2026-07-12 23:07
4,微生物學與臨床微生物學,先進鑑定技術與流行病學分型,微生物學與臨床微生物學/_topics/先進鑑定技術與流行病學分型.md,14,10,0.7143,False,Completed,Deployed successfully,2026-07-12 23:15
4,微生物學與臨床微生物學,非結核分枝桿菌 (NTM),微生物學與臨床微生物學/_topics/非結核分枝桿菌 (NTM).md,12,8,0.6667,False,Completed,Deployed successfully,2026-07-12 23:19
3,臨床血清免疫學與臨床病毒學,腫瘤免疫學與免疫治療,臨床血清免疫學與臨床病毒學/_topics/腫瘤免疫學與免疫治療.md,29,26,0.8966,False,Completed,Deployed successfully,2026-07-12 23:23
3,生物化學與臨床生化學,檢體採集與分析前變因,生物化學與臨床生化學/_topics/檢體採集與分析前變因.md,27,24,0.8889,False,Completed,Deployed successfully,2026-07-12 23:27
3,臨床血液學與血庫學,骨髓增生性腫瘤 (MPN),臨床血液學與血庫學/_topics/骨髓增生性腫瘤 (MPN).md,26,23,0.8846,False,Completed,Deployed successfully,2026-07-12 23:36
3,臨床生理學與病理學,腎臟與泌尿道病理學,臨床生理學與病理學/_topics/腎臟與泌尿道病理學.md,25,22,0.8800,False,Completed,Deployed successfully,2026-07-12 23:40
3,臨床血液學與血庫學,其他血型系統,臨床血液學與血庫學/_topics/其他血型系統.md,23,20,0.8696,False,Completed,Deployed successfully,2026-07-12 23:44
3,醫學分子檢驗學與臨床鏡檢學,滑膜液分析與結晶鑑定,醫學分子檢驗學與臨床鏡檢學/_topics/滑膜液分析與結晶鑑定.md,23,20,0.8696,False,Completed,Deployed successfully,2026-07-12 23:47
3,微生物學與臨床微生物學,弧菌、彎曲桿菌與螺旋桿菌,微生物學與臨床微生物學/_topics/弧菌、彎曲桿菌與螺旋桿菌.md,22,19,0.8636,False,Completed,Deployed successfully,2026-07-12 23:51
3,生物化學與臨床生化學,下視丘-腦下垂體軸調控,生物化學與臨床生化學/_topics/下視丘-腦下垂體軸調控.md,22,19,0.8636,False,Completed,Deployed successfully,2026-07-12 23:54
3,臨床生理學與病理學,細胞病理學：損傷、適應與死亡,臨床生理學與病理學/_topics/細胞病理學：損傷、適應與死亡.md,20,17,0.8500,False,Pending,,
3,臨床血清免疫學與臨床病毒學,凝集與沉澱反應,臨床血清免疫學與臨床病毒學/_topics/凝集與沉澱反應.md,19,16,0.8421,False,Pending,,
3,生物化學與臨床生化學,光譜分析技術與原理,生物化學與臨床生化學/_topics/光譜分析技術與原理.md,16,13,0.8125,False,Pending,,
3,微生物學與臨床微生物學,滅菌、消毒與生物安全,微生物學與臨床微生物學/_topics/滅菌、消毒與生物安全.md,14,11,0.7857,False,Pending,,
3,微生物學與臨床微生物學,酵母菌感染與鑑定,微生物學與臨床微生物學/_topics/酵母菌感染與鑑定.md,14,11,0.7857,False,Pending,,
3,醫學分子檢驗學與臨床鏡檢學,個體識別與親子鑑定,醫學分子檢驗學與臨床鏡檢學/_topics/個體識別與親子鑑定.md,12,9,0.7500,False,Pending,,
3,臨床血液學與血庫學,實驗室品質管制與品質保證,臨床血液學與血庫學/_topics/實驗室品質管制與品質保證.md,8,5,0.6250,False,Pending,,
2,臨床血清免疫學與臨床病毒學,微小RNA病毒科 (Picornaviridae),臨床血清免疫學與臨床病毒學/_topics/微小RNA病毒科 (Picornaviridae).md,34,32,0.9412,False,Pending,,
2,臨床血液學與血庫學,血色素合成與血色素病變,臨床血液學與血庫學/_topics/血色素合成與血色素病變.md,33,31,0.9394,False,Pending,,
2,臨床血液學與血庫學,凝血功能實驗室檢測,臨床血液學與血庫學/_topics/凝血功能實驗室檢測.md,31,29,0.9355,False,Pending,,
2,臨床血液學與血庫學,鐵質代謝與缺鐵性貧血,臨床血液學與血庫學/_topics/鐵質代謝與缺鐵性貧血.md,30,28,0.9333,False,Pending,,
2,生物化學與臨床生化學,腎上腺皮質激素與疾病,生物化學與臨床生化學/_topics/腎上腺皮質激素與疾病.md,29,27,0.9310,False,Pending,,
2,臨床血清免疫學與臨床病毒學,抗病毒藥物,臨床血清免疫學與臨床病毒學/_topics/抗病毒藥物.md,29,27,0.9310,False,Pending,,
2,臨床生理學與病理學,遺傳與小兒疾病學,臨床生理學與病理學/_topics/遺傳與小兒疾病學.md,26,24,0.9231,False,Pending,,
2,臨床血清免疫學與臨床病毒學,B細胞生物學與抗體生成,臨床血清免疫學與臨床病毒學/_topics/B細胞生物學與抗體生成.md,26,24,0.9231,False,Pending,,
2,臨床血清免疫學與臨床病毒學,反轉錄病毒科 (Retroviridae),臨床血清免疫學與臨床病毒學/_topics/反轉錄病毒科 (Retroviridae).md,26,24,0.9231,False,Pending,,
2,臨床生理學與病理學,女性生殖系統與妊娠病理學,臨床生理學與病理學/_topics/女性生殖系統與妊娠病理學.md,25,23,0.9200,False,Pending,,
2,生物化學與臨床生化學,心臟損傷生物標記,生物化學與臨床生化學/_topics/心臟損傷生物標記.md,24,22,0.9167,False,Pending,,
2,生物化學與臨床生化學,治療藥物監測與藥物動力學,生物化學與臨床生化學/_topics/治療藥物監測與藥物動力學.md,24,22,0.9167,False,Pending,,
2,臨床生理學與病理學,心電圖學：心律不整與心率分析,臨床生理學與病理學/_topics/心電圖學：心律不整與心率分析.md,24,22,0.9167,False,Pending,,
2,臨床生理學與病理學,神經系統病理學,臨床生理學與病理學/_topics/神經系統病理學.md,24,22,0.9167,False,Pending,,
2,生物化學與臨床生化學,血脂異常與動脈粥狀硬化,生物化學與臨床生化學/_topics/血脂異常與動脈粥狀硬化.md,22,20,0.9091,False,Pending,,
2,生物化學與臨床生化學,鈣、磷、鎂代謝與調控,生物化學與臨床生化學/_topics/鈣、磷、鎂代謝與調控.md,21,19,0.9048,False,Pending,,
2,臨床生理學與病理學,心血管系統病理學,臨床生理學與病理學/_topics/心血管系統病理學.md,21,19,0.9048,False,Pending,,
2,醫學分子檢驗學與臨床鏡檢學,腎臟功能與蛋白尿評估,醫學分子檢驗學與臨床鏡檢學/_topics/腎臟功能與蛋白尿評估.md,21,19,0.9048,False,Pending,,
2,臨床血清免疫學與臨床病毒學,流式細胞儀與細胞免疫分析,臨床血清免疫學與臨床病毒學/_topics/流式細胞儀與細胞免疫分析.md,20,18,0.9000,False,Pending,,
2,臨床生理學與病理學,骨骼、關節與軟組織病理學,臨床生理學與病理學/_topics/骨骼、關節與軟組織病理學.md,18,16,0.8889,False,Pending,,
2,臨床血液學與血庫學,先天性凝血功能異常,臨床血液學與血庫學/_topics/先天性凝血功能異常.md,18,16,0.8889,False,Pending,,
2,臨床血液學與血庫學,急性淋巴性白血病 (ALL),臨床血液學與血庫學/_topics/急性淋巴性白血病 (ALL).md,15,13,0.8667,False,Pending,,
2,微生物學與臨床微生物學,螺旋體,微生物學與臨床微生物學/_topics/螺旋體.md,14,12,0.8571,False,Pending,,
2,臨床血清免疫學與臨床病毒學,第二型與第三型過敏反應,臨床血清免疫學與臨床病毒學/_topics/第二型與第三型過敏反應.md,14,12,0.8571,False,Pending,,
2,臨床血液學與血庫學,紅血球形態學與包涵體,臨床血液學與血庫學/_topics/紅血球形態學與包涵體.md,13,11,0.8462,False,Pending,,
2,醫學分子檢驗學與臨床鏡檢學,人類白血球抗原(HLA)分型,醫學分子檢驗學與臨床鏡檢學/_topics/人類白血球抗原(HLA)分型.md,13,11,0.8462,False,Pending,,
2,微生物學與臨床微生物學,人畜共通病原菌,微生物學與臨床微生物學/_topics/人畜共通病原菌.md,12,10,0.8333,False,Pending,,
2,臨床血清免疫學與臨床病毒學,其他免疫學檢測技術,臨床血清免疫學與臨床病毒學/_topics/其他免疫學檢測技術.md,11,9,0.8182,False,Pending,,
2,臨床生理學與病理學,腫瘤學：臨床表徵與診斷標記,臨床生理學與病理學/_topics/腫瘤學：臨床表徵與診斷標記.md,10,8,0.8000,False,Pending,,
2,醫學分子檢驗學與臨床鏡檢學,核酸增幅與訊號放大技術,醫學分子檢驗學與臨床鏡檢學/_topics/核酸增幅與訊號放大技術.md,9,7,0.7778,False,Pending,,
1,臨床血清免疫學與臨床病毒學,新興與人畜共通病毒及普利昂,臨床血清免疫學與臨床病毒學/_topics/新興與人畜共通病毒及普利昂.md,36,35,0.9722,True,Pending,,
1,臨床生理學與病理學,心電圖學：心肌缺氧、梗塞與結構異常,臨床生理學與病理學/_topics/心電圖學：心肌缺氧、梗塞與結構異常.md,33,32,0.9697,False,Pending,,
1,臨床血液學與血庫學,巨紅芽球性貧血與維生素B12／葉酸缺乏,臨床血液學與血庫學/_topics/巨紅芽球性貧血與維生素B12／葉酸缺乏.md,29,28,0.9655,False,Pending,,
1,臨床血清免疫學與臨床病毒學,乳突與多瘤病毒科 (Papillomaviridae and Polyomaviridae),臨床血清免疫學與臨床病毒學/_topics/乳突與多瘤病毒科 (Papillomaviridae and Polyomaviridae).md,26,25,0.9615,False,Pending,,
1,生物化學與臨床生化學,實驗室品質管理與統計學,生物化學與臨床生化學/_topics/實驗室品質管理與統計學.md,24,23,0.9583,False,Pending,,
1,臨床生理學與病理學,血液與淋巴系統病理學,臨床生理學與病理學/_topics/血液與淋巴系統病理學.md,24,23,0.9583,False,Pending,,
1,生物化學與臨床生化學,電解質平衡 (鈉、鉀、氯),生物化學與臨床生化學/_topics/電解質平衡 (鈉、鉀、氯).md,19,18,0.9474,False,Pending,,
